,Row ID,login name,condition1,condition2,student1,student2,student 3,class,Session Id,time first action,time last action,Time,Time Taken,Problem Name,Step Name,Attempt At Step,Outcome,Selection,Graph #,Method_Recognized_1_Copied,Method_Recognized_2_Copied,Action,Input,Next_Input,Feedback Text,CF(Method1),CF(Method2),CF(advice),CF(new1),CF(new2),CF(step1_1),CF(step1_2),CF(step1_3),CF(step1_4),CF(step1_5),CF(step1_6),CF(step1_7),CF(step1_8),CF(step2_1),CF(step2_2),CF(step2_3),CF(step2_4),CF(step2_5),CF(step2_6),CF(step2_7),CF(step2_8),Unnamed: 46,Unnamed: 47,Unnamed: 48,Input.1,Next_Input.1,Cleaned method 1,Cleaned method 2,cases,Time_seconds,Timeshifted,Duration
9065,ID19067,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:02,00:02:04,trampoline,deleteAll1 ButtonPressed,1.0,CORRECT,deleteAll1,1.0,st1,st1 Average all Use / Average,ButtonPressed,Delete all,Delete all,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Average(all) = 5.0,,,,,,,,,,,,,,,,,,,,,st1,st1 Average all / Average,"1 3 5 7 9,3 4 5 6 7",594.0,00:19:03,1.0
9066,ID19068,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:03,00:00:01,trampoline,deleteAll2 ButtonPressed,1.0,CORRECT,deleteAll2,2.0,st1,st1,ButtonPressed,Delete all,Median,,,"3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,Average(all) / Average() = 5.0,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",595.0,00:19:11,8.0
9067,ID19069,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:11,00:00:08,trampoline,function1 UpdateComboBox,3.0,CORRECT,function1,1.0,st1 Median,st1,UpdateComboBox,Median,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Median,st1,"1 3 5 7 9,3 4 5 6 7",603.0,00:19:13,2.0
9068,ID19070,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:13,00:00:02,trampoline,pointsSelection1 UpdateComboBox,2.0,CORRECT,pointsSelection1,1.0,st1 Median all,st1,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Median all,st1,"1 3 5 7 9,3 4 5 6 7",605.0,00:19:15,2.0
9069,ID19071,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:15,00:00:02,trampoline,use1 ButtonPressed,2.0,CORRECT,use1,1.0,st1 Median all Use,st1,ButtonPressed,Use,Median,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Median all ,st1,"1 3 5 7 9,3 4 5 6 7",607.0,00:19:21,6.0
9070,ID19072,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:21,00:00:06,trampoline,function2 UpdateComboBox,3.0,CORRECT,function2,2.0,st1 Median all Use,st1 Median,UpdateComboBox,Median,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Median all ,st1 Median,"1 3 5 7 9,3 4 5 6 7",613.0,00:19:24,3.0
9072,ID19074,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:24,00:00:01,trampoline,use2 ButtonPressed,2.0,CORRECT,use2,2.0,st1 Median all Use,st1 Median {all} Use,ButtonPressed,Use,Delete all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Median all ,st1 Median all ,"1 3 5 7 9,3 4 5 6 7",616.0,00:19:29,5.0
9073,ID19075,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:29,00:00:05,trampoline,deleteAll1 ButtonPressed,2.0,CORRECT,deleteAll1,1.0,st1,st1 Median {all} Use,ButtonPressed,Delete all,Delete all,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Median(all) = 5,,,,,,,,,,,,,,,,,,,,,st1,st1 Median all ,"1 3 5 7 9,3 4 5 6 7",621.0,00:19:30,1.0
9074,ID19076,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:30,00:00:01,trampoline,deleteAll2 ButtonPressed,2.0,CORRECT,deleteAll2,2.0,st1,st1,ButtonPressed,Delete all,Count,,,"3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,Median(all) = 5,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",622.0,00:19:32,2.0
9075,ID19077,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:32,00:00:02,trampoline,function1 UpdateComboBox,4.0,CORRECT,function1,1.0,st1 Count,st1,UpdateComboBox,Count,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count,st1,"1 3 5 7 9,3 4 5 6 7",624.0,00:19:35,3.0
9077,ID19079,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:35,00:00:01,trampoline,use1 ButtonPressed,3.0,CORRECT,use1,1.0,st1 Count {all} Use,st1,ButtonPressed,Use,Count,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all ,st1,"1 3 5 7 9,3 4 5 6 7",627.0,00:19:38,3.0
9078,ID19080,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:38,00:00:03,trampoline,function2 UpdateComboBox,4.0,CORRECT,function2,2.0,st1 Count {all} Use,st1 Count,UpdateComboBox,Count,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all ,st1 Count,"1 3 5 7 9,3 4 5 6 7",630.0,00:19:39,1.0
9079,ID19081,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:39,00:00:01,trampoline,pointsSelection2 UpdateComboBox,2.0,CORRECT,pointsSelection2,2.0,st1 Count {all} Use,st1 Count all,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all ,st1 Count all,"1 3 5 7 9,3 4 5 6 7",631.0,00:19:40,1.0
9080,ID19082,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:40,00:00:01,trampoline,use2 ButtonPressed,3.0,CORRECT,use2,2.0,st1 Count {all} Use,st1 Count all Use,ButtonPressed,Use,Delete all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Count all ,st1 Count all ,"1 3 5 7 9,3 4 5 6 7",632.0,00:19:43,3.0
9081,ID19083,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:43,00:00:03,trampoline,deleteAll1 ButtonPressed,3.0,CORRECT,deleteAll1,1.0,st1,st1 Count all Use,ButtonPressed,Delete all,Delete all,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Count(all) = 5,,,,,,,,,,,,,,,,,,,,,st1,st1 Count all ,"1 3 5 7 9,3 4 5 6 7",635.0,00:19:44,1.0
9082,ID19084,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:44,00:00:01,trampoline,deleteAll2 ButtonPressed,3.0,CORRECT,deleteAll2,2.0,st1,st1,ButtonPressed,Delete all,Sum,,,"3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,Count(all) = 5,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",636.0,00:19:49,5.0
9084,ID19086,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:19:49,00:00:02,trampoline,function1 UpdateComboBox,5.0,CORRECT,pointsSelection1,1.0,st1 {Sum},st1,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum,st1,"1 3 5 7 9,3 4 5 6 7",641.0,00:20:16,27.0
9086,ID19088,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:20:16,00:00:26,trampoline,function2 UpdateComboBox,5.0,CORRECT,function2,2.0,st1 {Sum},st1 Sum,UpdateComboBox,Sum,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum,st1 Sum,"1 3 5 7 9,3 4 5 6 7",668.0,00:20:18,2.0
9088,ID19090,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:20:18,00:00:01,trampoline,use2 ButtonPressed,4.0,CORRECT,use2,2.0,st1 {Sum},st1 Sum {all} Use,ButtonPressed,Use,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",670.0,00:20:33,15.0
9090,ID19092,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:20:33,00:00:11,trampoline,function1 UpdateComboBox,6.0,CORRECT,function1,1.0,st1 {Sum} Sum,st1 Sum {all} Use,UpdateComboBox,Sum,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum Sum,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",685.0,00:20:35,2.0
9092,ID19094,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:20:35,00:00:01,trampoline,use1 ButtonPressed,6.0,CORRECT,use1,1.0,st1 {Sum} Sum {all} Use,st1 Sum {all} Use,ButtonPressed,Use,?,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum Sum all ,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",687.0,00:21:05,30.0
9095,ID19097,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:05,00:00:08,trampoline,operator1_1 UpdateComboBox,3.0,CORRECT,operator1_1,1.0,st1 {Sum} Sum {all} Use /,st1 Sum {all} Use,UpdateComboBox,/,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum Sum all /,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",717.0,00:21:14,9.0
9097,ID19099,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:14,00:00:07,trampoline,function1 UpdateComboBox,9.0,CORRECT,function1,1.0,st1 {Sum} Sum {all} Use / Count,st1 Sum {all} Use,UpdateComboBox,Count,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum Sum all / Count,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",726.0,00:21:23,9.0
9099,ID19101,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:23,00:00:05,trampoline,pointsSelection1 UpdateComboBox,3.0,CORRECT,pointsSelection1,1.0,st1 {Sum} Sum {all} Use / Count none,st1 Sum {all} Use,UpdateComboBox,none,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum Sum all / Count none,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",735.0,00:21:25,2.0
9100,ID19102,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:25,00:00:02,trampoline,pointsSelection1 UpdateComboBox,4.0,CORRECT,pointsSelection1,1.0,st1 {Sum} Sum {all} Use / Count none all,st1 Sum {all} Use,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum Sum all / Count all,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",737.0,00:21:27,2.0
9101,ID19103,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:27,00:00:02,trampoline,use1 ButtonPressed,9.0,CORRECT,use1,1.0,st1 {Sum} Sum {all} Use / Count none all Use,st1 Sum {all} Use,ButtonPressed,Use,Delete all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Sum Sum all / Count all ,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",739.0,00:21:50,23.0
9102,ID19104,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:50,00:00:23,trampoline,deleteAll1 ButtonPressed,4.0,CORRECT,deleteAll1,1.0,st1,st1 Sum {all} Use,ButtonPressed,Delete all,Delete all,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Sum(all) / Count(all) = 5.0,,,,,,,,,,,,,,,,,,,,,st1,st1 Sum all ,"1 3 5 7 9,3 4 5 6 7",762.0,00:21:52,2.0
9103,ID19105,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:52,00:00:02,trampoline,deleteAll2 ButtonPressed,4.0,CORRECT,deleteAll2,2.0,st1,st1,ButtonPressed,Delete all,Average,,,"3 ""4"" ""5"" ""6"" ""7""",,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,Sum(all) = 25.0,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",764.0,00:21:55,3.0
9104,ID19106,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:55,00:00:03,trampoline,function1 UpdateComboBox,10.0,CORRECT,function1,1.0,st1 Average,st1,UpdateComboBox,Average,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average,st1,"1 3 5 7 9,3 4 5 6 7",767.0,00:21:57,2.0
9105,ID19107,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:21:57,00:00:02,trampoline,pointsSelection1 UpdateComboBox,5.0,CORRECT,pointsSelection1,1.0,st1 Average all,st1,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all,st1,"1 3 5 7 9,3 4 5 6 7",769.0,00:22:00,3.0
9106,ID19108,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:00,00:00:03,trampoline,use1 ButtonPressed,10.0,CORRECT,use1,1.0,st1 Average all Use,st1,ButtonPressed,Use,/,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all ,st1,"1 3 5 7 9,3 4 5 6 7",772.0,00:22:12,12.0
9107,ID19109,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:12,00:00:12,trampoline,operator1_1 UpdateComboBox,4.0,CORRECT,operator1_1,1.0,st1 Average all Use /,st1,UpdateComboBox,/,Median,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all /,st1,"1 3 5 7 9,3 4 5 6 7",784.0,00:22:15,3.0
9108,ID19110,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:15,00:00:03,trampoline,function1 UpdateComboBox,11.0,CORRECT,function1,1.0,st1 Average all Use / Median,st1,UpdateComboBox,Median,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all / Median,st1,"1 3 5 7 9,3 4 5 6 7",787.0,00:22:17,2.0
9109,ID19111,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:17,00:00:02,trampoline,use1 ButtonPressed,11.0,CORRECT,use1,1.0,st1 Average all Use / Median Use,st1,ButtonPressed,Use,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all / Median ,st1,"1 3 5 7 9,3 4 5 6 7",789.0,00:22:23,6.0
9111,ID19113,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:23,00:00:06,trampoline,function2 UpdateComboBox,6.0,CORRECT,function2,2.0,st1 Average all Use / Median Use {all},st1 Average,UpdateComboBox,Average,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all / Median all,st1 Average,"1 3 5 7 9,3 4 5 6 7",795.0,00:22:26,3.0
9113,ID19115,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:26,00:00:01,trampoline,use2 ButtonPressed,5.0,CORRECT,use2,2.0,st1 Average all Use / Median Use {all},st1 Average {all} Use,ButtonPressed,Use,Median,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all / Median all,st1 Average all ,"1 3 5 7 9,3 4 5 6 7",798.0,00:22:36,10.0
9115,ID19117,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:36,00:00:08,trampoline,operator2_1 UpdateComboBox,2.0,CORRECT,operator2_1,2.0,st1 Average all Use / Median Use {all},st1 Average {all} Use /,UpdateComboBox,/,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all / Median all,st1 Average all /,"1 3 5 7 9,3 4 5 6 7",808.0,00:22:50,14.0
9118,ID19120,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:50,00:00:11,trampoline,function2 UpdateComboBox,8.0,CORRECT,function2,2.0,st1 Average all Use / Median Use {all},st1 Average {all} Use / Median,UpdateComboBox,Median,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all / Median all,st1 Average all / Median,"1 3 5 7 9,3 4 5 6 7",822.0,00:22:53,3.0
9120,ID19122,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:53,00:00:01,trampoline,use2 ButtonPressed,7.0,CORRECT,use2,2.0,st1 Average all Use / Median Use {all},st1 Average {all} Use / Median {all} Use,ButtonPressed,Use,Delete all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all / Median all,st1 Average all / Median all ,"1 3 5 7 9,3 4 5 6 7",825.0,00:22:59,6.0
9121,ID19123,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:22:59,00:00:06,trampoline,deleteAll1 ButtonPressed,5.0,CORRECT,deleteAll1,1.0,st1,st1 Average {all} Use / Median {all} Use,ButtonPressed,Delete all,Delete all,,"1 ""3"" ""5"" ""7"" ""9""",,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",Average(all) / Median(all) = 1.0,,,,,,,,,,,,,,,,,,,,,st1,st1 Average all / Median all ,"1 3 5 7 9,3 4 5 6 7",831.0,00:23:01,2.0
